,Decode time
120,0.0025367580819875
121,0.002540704794228077
122,0.00253867800347507
123,0.002623270032927394
124,0.002765111858025193
125,0.0025220380630344152
126,0.0026245350018143654
127,0.002639950020238757
128,0.06183865782804787
129,0.0028053568676114082
130,0.002700266893953085
131,0.002700743032619357
132,0.0025794110260903835
133,0.002745160134509206
134,0.002629949012771249
135,0.002549306023865938
136,0.002842455869540572
137,0.002633879194036126
138,0.0025411469396203756
139,0.00253889593295753
140,0.002541006077080965
141,0.002544029848650098
142,0.0025350910145789385
143,0.002543867100030184
144,0.0025335559621453285
145,0.0025372279342263937
146,0.0025416610296815634
147,0.002537313150241971
148,0.00269024888984859
149,0.0025288909673690796
150,0.0025177740026265383
151,0.002529169898480177
152,0.0025247849989682436
153,0.002517903922125697
154,0.00252560805529356
155,0.0025286078453063965
156,0.002513518091291189
157,0.0025290020275861025
158,0.002523201983422041
159,0.002523154951632023
160,0.002525195013731718
161,0.002527989912778139
162,0.002519404049962759
163,0.0025274218060076237
164,0.0025204329285770655
165,0.0025321929715573788
166,0.0025245219003409147
167,0.0025202229153364897
168,0.002625914989039302
169,0.0026199789717793465
170,0.002681219018995762
171,0.0025439979508519173
172,0.002537492895498872
173,0.0025380561128258705
174,0.0026173749938607216
175,0.00253017689101398
176,0.0025181618984788656
177,0.0025282669812440872
178,0.00252715521492064
179,0.0025225840508937836
180,0.002602331107482314
181,0.0027183261699974537
182,0.002686206018552184
183,0.002722904086112976
184,0.0027602887712419033
185,0.0027512889355421066
186,0.002660909900441766
187,0.0026315818540751934
188,0.0025405799970030785
189,0.0027009889017790556
190,0.002707767067477107
191,0.002537366934120655
192,0.06008382420986891
193,0.0028016360010951757
194,0.0025649911258369684
195,0.0026659159921109676
196,0.002675302792340517
197,0.0025576360058039427
198,0.0026361229829490185
199,0.002644777065142989
200,0.002549913013353944
201,0.0026222639717161655
202,0.0025462370831519365
203,0.0026317178271710873
204,0.002659197198227048
205,0.0025540650822222233
206,0.00255033397115767
207,0.002634813077747822
208,0.0025535309687256813
209,0.002545512979850173
210,0.0025372118689119816
211,0.0026326519437134266
212,0.0028185478877276182
213,0.002574239857494831
214,0.0025491840206086636
215,0.0026499780360609293
216,0.002551077166572213
217,0.0025447101797908545
218,0.002545212162658572
219,0.0026317790616303682
220,0.0026642237789928913
221,0.0025563929229974747
222,0.002540804911404848
223,0.0026487449649721384
224,0.002554382896050811
225,0.0025389371439814568
226,0.00254542613402009
227,0.0026315462309867144
228,0.0026708869263529778
229,0.0025554189924150705
230,0.0025400719605386257
231,0.0026516320649534464
232,0.0026405269745737314
233,0.0025453809648752213
234,0.0025531689170747995
235,0.0026381739880889654
236,0.0026617860421538353
237,0.0025607841089367867
238,0.002556249964982271
239,0.002646828070282936
240,0.0025612451136112213
241,0.0025535051245242357
242,0.002543685957789421
243,0.0026450571604073048
244,0.0026746978983283043
245,0.002556911902502179
246,0.002553681842982769
247,0.0026521210093051195
248,0.0025564059615135193
249,0.00255485693924129
250,0.00255333399400115
251,0.0026368440594524145
252,0.0026702680625021458
253,0.002654098207131028
254,0.002540876856073737
255,0.002648164052516222
256,0.061729507986456156
257,0.0030138518195599318
258,0.0027333020698279142
259,0.002707673003897071
260,0.0027403899002820253
261,0.0026744038332253695
262,0.002677001990377903
263,0.002702048048377037
264,0.002712699119001627
265,0.002645034110173583
266,0.0026528199668973684
267,0.002888984978199005
268,0.0026564488653093576
269,0.0026275780983269215
270,0.002652982948347926
271,0.0026345860678702593
272,0.0026444699615240097
273,0.002631029114127159
274,0.0026575918309390545
275,0.0026981288101524115
276,0.002643807092681527
277,0.002616211073473096
278,0.002631362061947584
279,0.0026139188557863235
280,0.0026322698686271906
281,0.0026067381259053946
282,0.002636353950947523
283,0.00261973706074059
284,0.0026307390071451664
285,0.002615211997181177
286,0.0026379369664937258
287,0.002609820105135441
288,0.002734455047175288
289,0.002613693941384554
290,0.0026281499303877354
291,0.002612378913909197
292,0.0026360389310866594
293,0.0026451810263097286
294,0.0026815009769052267
295,0.002613405929878354
296,0.0026250220835208893
297,0.0026174578815698624
298,0.002633399097248912
299,0.002609486924484372
300,0.0026361928321421146
301,0.00261567416600883
302,0.002625277964398265
303,0.00261249509640038
304,0.002636322984471917
305,0.0026100908871740103
306,0.002634991193190217
307,0.002612954005599022
308,0.002630113158375025
309,0.0026138629764318466
310,0.002638688078150153
311,0.0026057949289679527
312,0.0026699749287217855
313,0.002659879857674241
314,0.0027206188533455133
315,0.0026288710068911314
316,0.0026491661556065083
317,0.002630789065733552
318,0.002646367996931076
319,0.0026307529769837856
320,0.06084605096839368
321,0.002898635109886527
322,0.002714333822950721
323,0.0026603948790580034
324,0.0026815319433808327
325,0.002653447911143303
326,0.002708825981244445
327,0.00265657901763916
328,0.002743310062214732
329,0.0026142909191548824
330,0.0026467139832675457
331,0.0027041479479521513
332,0.0027256121393293142
333,0.002627122215926647
334,0.0026532369665801525
335,0.002683834871277213
336,0.0026572500355541706
337,0.0027086520567536354
338,0.0026701020542532206
339,0.002700531855225563
340,0.0027172190602868795
341,0.0026512211188673973
342,0.0027467350009828806
343,0.002598233986645937
344,0.0026547068264335394
345,0.0026087560690939426
346,0.002643059939146042
347,0.0026082838885486126
348,0.0026536399964243174
349,0.0026024209801107645
350,0.002656776923686266
351,0.0026084319688379765
352,0.002644882071763277
353,0.0026082019321620464
354,0.002664013998582959
355,0.002598367864266038
356,0.0026553208008408546
357,0.002609811956062913
358,0.002644115127623081
359,0.0026706939097493887
360,0.002740927040576935
361,0.0026188469491899014
362,0.0026649280916899443
363,0.0026256898418068886
364,0.0026614218950271606
365,0.002623516134917736
366,0.002665738807991147
367,0.0026178050320595503
368,0.0026720170862972736
369,0.0026284789200872183
370,0.0026652670931071043
371,0.002706673927605152
372,0.0026753349229693413
373,0.0026222718879580498
374,0.002672255039215088
375,0.002698903903365135
376,0.0026582980062812567
377,0.0027521811425685883
378,0.002827906049787998
379,0.0026251000817865133
380,0.0026604668237268925
381,0.0026985369622707367
382,0.002653046976774931
383,0.0026043460238724947
384,0.06061588507145643
385,0.002798199886456132
386,0.0025576360058039427
387,0.0026467470452189445
388,0.002670146059244871
389,0.0025389790534973145
390,0.0025356889236718416
391,0.0026266691274940968
392,0.002529153833165765
393,0.002529856050387025
394,0.0025316739920526743
395,0.0026004258543252945
396,0.0026387320831418037
397,0.0025307859759777784
398,0.002523333067074418
399,0.0026232688687741756
400,0.002530213911086321
401,0.002525551011785865
402,0.0025255579967051744
403,0.0026058799121528864
404,0.002774318912997842
405,0.002618742175400257
406,0.0027967828791588545
407,0.0027055440004915
408,0.002693407004699111
409,0.0027064429596066475
410,0.0025763618759810925
411,0.0028226468712091446
412,0.0027451098430901766
413,0.00253025209531188
414,0.0026353381108492613
415,0.0027370930183678865
416,0.002556704916059971
417,0.0026177139952778816
418,0.0026431609876453876
419,0.0026346170343458652
420,0.0027305891271680593
421,0.0026539110112935305
422,0.0025691750925034285
423,0.0027784749399870634
424,0.002704584039747715
425,0.0026621930301189423
426,0.0025855600833892822
427,0.0027116930577903986
428,0.002702689031139016
429,0.0025521558709442616
430,0.0026480131782591343
431,0.002701133955270052
432,0.002561872126534581
433,0.0026623320300132036
434,0.002601932967081666
435,0.002625635825097561
436,0.0027482870500534773
437,0.0026317338924854994
438,0.0025375059340149164
439,0.002703322097659111
440,0.002597908955067396
441,0.002531951991841197
442,0.0026897850912064314
443,0.0027554340194910765
444,0.002806304953992367
445,0.002587138209491968
446,0.0026129598263651133
447,0.002627795096486807
448,0.06082044821232557
449,0.0031481259502470493
450,0.0026261149905622005
451,0.0026580700650811195
452,0.0026808890979737043
453,0.002559994114562869
454,0.0025506860110908747
455,0.0026544900611042976
456,0.0025419669691473246
457,0.0025448710657656193
458,0.002547784009948373
459,0.0026973870117217302
460,0.002642716048285365
461,0.002532942919060588
462,0.0025255142245441675
463,0.0026402929797768593
464,0.0025310860946774483
465,0.0025243901181966066
466,0.0025299808476120234
467,0.0026167870964854956
468,0.002729234052821994
469,0.0026103309355676174
470,0.0025353319942951202
471,0.00263184099458158
472,0.002527794800698757
473,0.002528992947191
474,0.0025221160613000393
475,0.0026213740929961205
476,0.002647849963977933
477,0.002522354945540428
478,0.0025327501352876425
479,0.00264559593051672
480,0.002525188960134983
481,0.0025320500135421753
482,0.002530517056584358
483,0.0026038179639726877
484,0.0026399600319564342
485,0.002529517048969865
486,0.002526277909055352
487,0.0026406708639115095
488,0.0025240241084247828
489,0.002646585926413536
490,0.002535932930186391
491,0.0026095749344676733
492,0.0026485719718039036
493,0.0025381308514624834
494,0.0025364269968122244
495,0.0026496988721191883
496,0.0025369240902364254
497,0.0025286898016929626
498,0.0025368269998580217
499,0.002619887003675103
500,0.002642576117068529
501,0.0025406358763575554
502,0.002546115079894662
503,0.0026411719154566526
504,0.002536088926717639
505,0.0025336151011288166
506,0.0025265461299568415
507,0.0026194308884441853
508,0.0027678818441927433
509,0.002591704949736595
510,0.0026292731054127216
511,0.002649646019563079
512,0.06058170413598418
513,0.0029010481666773558
514,0.0027061901055276394
515,0.002663624007254839
516,0.0026747530791908503
517,0.0026514919009059668
518,0.0026646610349416733
519,0.00262799602933228
520,0.002746360842138529
521,0.002640474122017622
522,0.002662037033587694
523,0.0029025301337242126
524,0.0026721497997641563
525,0.0026410690043121576
526,0.0026615429669618607
527,0.0026397749315947294
528,0.0026695041451603174
529,0.0026297469157725573
530,0.00266500492580235
531,0.002749913139268756
532,0.0027010890189558268
533,0.0026203568559139967
534,0.0026505240239202976
535,0.0027121768798679113
536,0.00265916483476758
537,0.0026243969332426786
538,0.0026533750351518393
539,0.0027049952186644077
540,0.0026592400390654802
541,0.0026205710601061583
542,0.002659822115674615
543,0.002625532913953066
544,0.0026557501405477524
545,0.0026166951283812523
546,0.0026596139650791883
547,0.0026239759754389524
548,0.0026506560388952494
549,0.0026205889880657196
550,0.002659583929926157
551,0.002692919224500656
552,0.0028473499696701765
553,0.0026677181012928486
554,0.0026647639460861683
555,0.0026321120094507933
556,0.0026668088976293802
557,0.0026226560585200787
558,0.0027401759289205074
559,0.00261344900354743
560,0.0026449679862707853
561,0.0026192190125584602
562,0.0026545249857008457
563,0.0026104499120265245
564,0.002650937996804714
565,0.0026176569517701864
566,0.0027740478981286287
567,0.0027486439794301987
568,0.0028448349330574274
569,0.002635540906339884
570,0.0026624470483511686
571,0.002721623983234167
572,0.0028484431095421314
573,0.0026280470192432404
574,0.0026713749393820763
575,0.00263166893273592
576,0.06148177501745522
577,0.0028204680420458317
578,0.0026083539705723524
579,0.0026708280202001333
580,0.0026840169448405504
581,0.0025565798860043287
582,0.0025356151163578033
583,0.002625933848321438
584,0.0025372300297021866
585,0.002568779978901148
586,0.0025686081498861313
587,0.002638152102008462
588,0.002660562051460147
589,0.0025292939972132444
590,0.0025385520420968533
591,0.0026282600592821836
592,0.0025290430057793856
593,0.0025627429131418467
594,0.003048740094527602
595,0.0026977751404047012
596,0.002703291131183505
597,0.0025741758290678263
598,0.002589812036603689
599,0.002623944077640772
600,0.002544980961829424
601,0.0025778410490602255
602,0.0025701019912958145
603,0.002644206862896681
604,0.0026682550087571144
605,0.002541294088587165
