,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
81,2021-08-19 14:50:31.611084,2021-08-19 14:50:36.952051,0,0,0,0,0,0
82,2021-08-19 14:50:42.830682,2021-08-19 14:50:43.740982,0.0,5.878631,5.878631,5.878631,5.878631,5.878631
83,2021-08-19 14:50:42.079748,2021-08-19 14:50:44.651282,0,0,0,0,0,0
84,2021-08-19 14:50:40.167396,2021-08-19 14:50:45.561582,0,0,0,0,0,0
85,2021-08-19 14:50:51.044028,2021-08-19 14:50:51.954328,0.0,5.482446,5.482446,5.482446,5.482446,5.482446
86,2021-08-19 14:50:50.114096,2021-08-19 14:50:52.864628,0,0,0,0,0,0
87,2021-08-19 14:50:48.477505,2021-08-19 14:50:53.774928,0,0,0,0,0,0
88,2021-08-19 14:50:59.814047,2021-08-19 14:51:00.724347,0.0,6.039119,6.039119,6.039119,6.039119,6.039119
89,2021-08-19 14:50:58.824122,2021-08-19 14:51:01.634647,0,0,0,0,0,0
90,2021-08-19 14:50:57.330658,2021-08-19 14:51:02.544947,0,0,0,0,0,0
91,2021-08-19 14:51:08.614519,2021-08-19 14:51:09.524819,0.0,6.069572,6.069572,6.069572,6.069572,6.069572
92,2021-08-19 14:51:07.864693,2021-08-19 14:51:10.435119,0,0,0,0,0,0
93,2021-08-19 14:51:06.016250,2021-08-19 14:51:11.345419,0,0,0,0,0,0
94,2021-08-19 14:51:17.213169,2021-08-19 14:51:18.123469,0.0,5.86775,5.86775,5.86775,5.86775,5.86775
95,2021-08-19 14:51:16.856145,2021-08-19 14:51:19.033769,0,0,0,0,0,0
96,2021-08-19 14:51:14.837961,2021-08-19 14:51:19.944069,0,0,0,0,0,0
97,2021-08-19 14:51:26.081726,2021-08-19 14:51:26.992026,0.0,6.137657,6.137657,6.137657,6.137657,6.137657
98,2021-08-19 14:51:25.877359,2021-08-19 14:51:27.902326,0,0,0,0,0,0
99,2021-08-19 14:51:23.679340,2021-08-19 14:51:28.812626,0,0,0,0,0,0
100,2021-08-19 14:51:34.854201,2021-08-19 14:51:35.764501,0.0,6.041575,6.041575,6.041575,6.041575,6.041575
101,2021-08-19 14:51:34.912469,2021-08-19 14:51:36.674801,0,0,0,0,0,0
102,2021-08-19 14:51:32.688281,2021-08-19 14:51:37.585101,0,0,0,0,0,0
103,2021-08-19 14:51:43.755188,2021-08-19 14:51:44.665488,0.0,6.170087,6.170087,6.170087,6.170087,6.170087
104,2021-08-19 14:51:43.870897,2021-08-19 14:51:45.575788,0,0,0,0,0,0
105,2021-08-19 14:51:41.513147,2021-08-19 14:51:46.486088,0,0,0,0,0,0
106,2021-08-19 14:51:52.383720,2021-08-19 14:51:53.294020,0.0,5.897632,5.897632,5.897632,5.897632,5.897632
107,2021-08-19 14:51:52.755593,2021-08-19 14:51:54.204320,0,0,0,0,0,0
108,2021-08-19 14:51:50.255584,2021-08-19 14:51:55.114620,0,0,0,0,0,0
109,2021-08-19 14:52:01.152265,2021-08-19 14:52:02.062565,0.0,6.037645,6.037645,6.037645,6.037645,6.037645
110,2021-08-19 14:52:01.546218,2021-08-19 14:52:02.972865,0,0,0,0,0,0
111,2021-08-19 14:51:58.876319,2021-08-19 14:52:03.883165,0,0,0,0,0,0
112,2021-08-19 14:52:09.950633,2021-08-19 14:52:10.860933,0.0,6.067468,6.067468,6.067468,6.067468,6.067468
113,2021-08-19 14:52:10.488244,2021-08-19 14:52:11.771233,0,0,0,0,0,0
114,2021-08-19 14:52:07.759934,2021-08-19 14:52:12.681533,0,0,0,0,0,0
115,2021-08-19 14:52:18.497104,2021-08-19 14:52:19.407404,0.0,5.815571,5.815571,5.815571,5.815571,5.815571
116,2021-08-19 14:52:19.445216,2021-08-19 14:52:20.355516,0.0,0.037812,0.037812,0.037812,0.037812,0.037812
117,2021-08-19 14:52:16.696561,2021-08-19 14:52:21.265816,0,0,0,0,0,0
118,2021-08-19 14:52:27.231804,2021-08-19 14:52:28.142104,0.0,5.965988,5.965988,5.965988,5.965988,5.965988
119,2021-08-19 14:52:27.515700,2021-08-19 14:52:29.052404,0,0,0,0,0,0
120,2021-08-19 14:52:25.491127,2021-08-19 14:52:29.962704,0,0,0,0,0,0
121,2021-08-19 14:52:35.717476,2021-08-19 14:52:36.627776,0.0,5.754772,5.754772,5.754772,5.754772,5.754772
122,2021-08-19 14:52:36.316330,2021-08-19 14:52:37.538076,0,0,0,0,0,0
123,2021-08-19 14:52:33.864199,2021-08-19 14:52:38.448376,0,0,0,0,0,0
124,2021-08-19 14:52:44.119992,2021-08-19 14:52:45.030292,0.0,5.671616,5.671616,5.671616,5.671616,5.671616
125,2021-08-19 14:52:45.086292,2021-08-19 14:52:45.996592,0.0,0.056,0.056,0.056,0.056,0.056
126,2021-08-19 14:52:42.517434,2021-08-19 14:52:46.906892,0,0,0,0,0,0
127,2021-08-19 14:52:52.703083,2021-08-19 14:52:53.613383,0.0,5.796191,5.796191,5.796191,5.796191,5.796191
128,2021-08-19 14:52:53.812191,2021-08-19 14:52:54.722491,0.0,0.198808,0.198808,0.198808,0.198808,0.198808
129,2021-08-19 14:52:51.153028,2021-08-19 14:52:55.632791,0,0,0,0,0,0
130,2021-08-19 14:53:01.367919,2021-08-19 14:53:02.278219,0.0,5.735128,5.735128,5.735128,5.735128,5.735128
131,2021-08-19 14:53:02.563234,2021-08-19 14:53:03.473534,0.0,0.285015,0.285015,0.285015,0.285015,0.285015
132,2021-08-19 14:52:59.687318,2021-08-19 14:53:04.383834,0,0,0,0,0,0
133,2021-08-19 14:53:09.734756,2021-08-19 14:53:10.645056,0.0,5.350922,5.350922,5.350922,5.350922,5.350922
134,2021-08-19 14:53:11.528946,2021-08-19 14:53:12.439246,0.0,0.88389,0.88389,0.88389,0.88389,0.88389
135,2021-08-19 14:53:08.653295,2021-08-19 14:53:13.349546,0,0,0,0,0,0
136,2021-08-19 14:53:18.524730,2021-08-19 14:53:19.435030,0.0,5.175184,5.175184,5.175184,5.175184,5.175184
137,2021-08-19 14:53:20.546034,2021-08-19 14:53:21.456334,0.0,1.111004,1.111004,1.111004,1.111004,1.111004
138,2021-08-19 14:53:17.525443,2021-08-19 14:53:22.366634,0,0,0,0,0,0
139,2021-08-19 14:53:27.089168,2021-08-19 14:53:27.999468,0.0,4.722534,4.722534,4.722534,4.722534,4.722534
140,2021-08-19 14:53:29.278562,2021-08-19 14:53:30.188862,0.0,1.279094,1.279094,1.279094,1.279094,1.279094
141,2021-08-19 14:53:26.136260,2021-08-19 14:53:31.099162,0,0,0,0,0,0
142,2021-08-19 14:53:35.416030,2021-08-19 14:53:36.326330,0.0,4.316868,4.316868,4.316868,4.316868,4.316868
143,2021-08-19 14:53:38.073494,2021-08-19 14:53:38.983794,0.0,1.747164,1.747164,1.747164,1.747164,1.747164
144,2021-08-19 14:53:34.742970,2021-08-19 14:53:39.894094,0,0,0,0,0,0
145,2021-08-19 14:53:44.192094,2021-08-19 14:53:45.102394,0.0,4.298,4.298,4.298,4.298,4.298
146,2021-08-19 14:53:46.777531,2021-08-19 14:53:47.687831,0.0,1.675137,1.675137,1.675137,1.675137,1.675137
147,2021-08-19 14:53:43.303564,2021-08-19 14:53:48.598131,0,0,0,0,0,0
148,2021-08-19 14:53:52.950444,2021-08-19 14:53:53.860744,0.0,4.352313,4.352313,4.352313,4.352313,4.352313
149,2021-08-19 14:53:55.287688,2021-08-19 14:53:56.197988,0.0,1.426944,1.426944,1.426944,1.426944,1.426944
150,2021-08-19 14:53:52.037964,2021-08-19 14:53:57.108288,0,0,0,0,0,0
151,2021-08-19 14:54:01.789316,2021-08-19 14:54:02.699616,0.0,4.681028,4.681028,4.681028,4.681028,4.681028
152,2021-08-19 14:54:04.140344,2021-08-19 14:54:05.050644,0.0,1.440728,1.440728,1.440728,1.440728,1.440728
153,2021-08-19 14:54:00.889971,2021-08-19 14:54:05.960944,0,0,0,0,0,0
154,2021-08-19 14:54:10.690877,2021-08-19 14:54:11.601177,0.0,4.729933,4.729933,4.729933,4.729933,4.729933
155,2021-08-19 14:54:13.063084,2021-08-19 14:54:13.973384,0.0,1.461907,1.461907,1.461907,1.461907,1.461907
156,2021-08-19 14:54:09.688988,2021-08-19 14:54:14.883684,0,0,0,0,0,0
157,2021-08-19 14:54:19.138298,2021-08-19 14:54:20.048598,0.0,4.254614,4.254614,4.254614,4.254614,4.254614
158,2021-08-19 14:54:21.975964,2021-08-19 14:54:22.886264,0.0,1.927366,1.927366,1.927366,1.927366,1.927366
159,2021-08-19 14:54:18.385574,2021-08-19 14:54:23.796564,0,0,0,0,0,0
160,2021-08-19 14:54:27.938727,2021-08-19 14:54:28.849027,0.0,4.142163,4.142163,4.142163,4.142163,4.142163
161,2021-08-19 14:54:30.813570,2021-08-19 14:54:31.723870,0.0,1.964543,1.964543,1.964543,1.964543,1.964543
162,2021-08-19 14:54:27.225446,2021-08-19 14:54:32.634170,0,0,0,0,0,0
163,2021-08-19 14:54:36.749991,2021-08-19 14:54:37.660291,0.0,4.115821,4.115821,4.115821,4.115821,4.115821
164,2021-08-19 14:54:39.668523,2021-08-19 14:54:40.578823,0.0,2.008232,2.008232,2.008232,2.008232,2.008232
165,2021-08-19 14:54:35.824042,2021-08-19 14:54:41.489123,0,0,0,0,0,0
166,2021-08-19 14:54:45.697337,2021-08-19 14:54:46.607637,0.0,4.208214,4.208214,4.208214,4.208214,4.208214
167,2021-08-19 14:54:48.816762,2021-08-19 14:54:49.727062,0.0,2.209125,2.209125,2.209125,2.209125,2.209125
168,2021-08-19 14:54:44.502133,2021-08-19 14:54:50.637362,0,0,0,0,0,0
169,2021-08-19 14:54:54.476026,2021-08-19 14:54:55.386326,0.0,3.838664,3.838664,3.838664,3.838664,3.838664
170,2021-08-19 14:54:57.569842,2021-08-19 14:54:58.480142,0.0,2.183516,2.183516,2.183516,2.183516,2.183516
171,2021-08-19 14:54:52.958914,2021-08-19 14:54:59.390442,0,0,0,0,0,0
172,2021-08-19 14:55:03.267859,2021-08-19 14:55:04.178159,0.0,3.877417,3.877417,3.877417,3.877417,3.877417
173,2021-08-19 14:55:06.344696,2021-08-19 14:55:07.254996,0.0,2.166537,2.166537,2.166537,2.166537,2.166537
174,2021-08-19 14:55:01.646554,2021-08-19 14:55:08.165296,0,0,0,0,0,0
175,2021-08-19 14:55:11.864006,2021-08-19 14:55:12.774306,0.0,3.69871,3.69871,3.69871,3.69871,3.69871
176,2021-08-19 14:55:15.236139,2021-08-19 14:55:16.146439,0.0,2.461833,2.461833,2.461833,2.461833,2.461833
177,2021-08-19 14:55:10.358757,2021-08-19 14:55:17.056739,0,0,0,0,0,0
178,2021-08-19 14:55:20.616530,2021-08-19 14:55:21.526830,0.0,3.559791,3.559791,3.559791,3.559791,3.559791
179,2021-08-19 14:55:24.179281,2021-08-19 14:55:25.089581,0.0,2.652451,2.652451,2.652451,2.652451,2.652451
180,2021-08-19 14:55:19.005036,2021-08-19 14:55:25.999881,0,0,0,0,0,0
181,2021-08-19 14:55:29.227928,2021-08-19 14:55:30.138228,0.0,3.228047,3.228047,3.228047,3.228047,3.228047
182,2021-08-19 14:55:32.232724,2021-08-19 14:55:33.143024,0.0,2.094496,2.094496,2.094496,2.094496,2.094496
183,2021-08-19 14:55:27.293672,2021-08-19 14:55:34.053324,0,0,0,0,0,0
184,2021-08-19 14:55:37.722939,2021-08-19 14:55:38.633239,0.0,3.669615,3.669615,3.669615,3.669615,3.669615
185,2021-08-19 14:55:40.548288,2021-08-19 14:55:41.458588,0.0,1.915049,1.915049,1.915049,1.915049,1.915049
186,2021-08-19 14:55:35.830835,2021-08-19 14:55:42.368888,0,0,0,0,0,0
187,2021-08-19 14:55:46.402548,2021-08-19 14:55:47.312848,0.0,4.03366,4.03366,4.03366,4.03366,4.03366
188,2021-08-19 14:55:49.546238,2021-08-19 14:55:50.456538,0.0,2.23339,2.23339,2.23339,2.23339,2.23339
189,2021-08-19 14:55:44.727675,2021-08-19 14:55:51.366838,0,0,0,0,0,0
190,2021-08-19 14:55:55.124065,2021-08-19 14:55:56.034365,0.0,3.757227,3.757227,3.757227,3.757227,3.757227
191,2021-08-19 14:55:58.450447,2021-08-19 14:55:59.360747,0.0,2.416082,2.416082,2.416082,2.416082,2.416082
192,2021-08-19 14:55:53.526374,2021-08-19 14:56:00.271047,0,0,0,0,0,0
193,2021-08-19 14:56:04.127638,2021-08-19 14:56:05.037938,0.0,3.856591,3.856591,3.856591,3.856591,3.856591
194,2021-08-19 14:56:07.262645,2021-08-19 14:56:08.172945,0.0,2.224707,2.224707,2.224707,2.224707,2.224707
195,2021-08-19 14:56:02.225639,2021-08-19 14:56:09.083245,0,0,0,0,0,0
196,2021-08-19 14:56:12.858692,2021-08-19 14:56:13.768992,0.0,3.775447,3.775447,3.775447,3.775447,3.775447
197,2021-08-19 14:56:16.180886,2021-08-19 14:56:17.091186,0.0,2.411894,2.411894,2.411894,2.411894,2.411894
198,2021-08-19 14:56:10.994425,2021-08-19 14:56:18.001486,0,0,0,0,0,0
199,2021-08-19 14:56:21.588479,2021-08-19 14:56:22.498779,0.0,3.586993,3.586993,3.586993,3.586993,3.586993
200,2021-08-19 14:56:24.953500,2021-08-19 14:56:25.863800,0.0,2.454721,2.454721,2.454721,2.454721,2.454721
201,2021-08-19 14:56:19.520111,2021-08-19 14:56:26.774100,0,0,0,0,0,0
202,2021-08-19 14:56:30.210707,2021-08-19 14:56:31.121007,0.0,3.436607,3.436607,3.436607,3.436607,3.436607
203,2021-08-19 14:56:33.719305,2021-08-19 14:56:34.629605,0.0,2.598298,2.598298,2.598298,2.598298,2.598298
204,2021-08-19 14:56:28.237784,2021-08-19 14:56:35.539905,0,0,0,0,0,0
205,2021-08-19 14:56:39.019568,2021-08-19 14:56:39.929868,0.0,3.479663,3.479663,3.479663,3.479663,3.479663
206,2021-08-19 14:56:42.584939,2021-08-19 14:56:43.495239,0.0,2.655071,2.655071,2.655071,2.655071,2.655071
207,2021-08-19 14:56:37.023483,2021-08-19 14:56:44.405539,0,0,0,0,0,0
208,2021-08-19 14:56:47.617725,2021-08-19 14:56:48.528025,0.0,3.212186,3.212186,3.212186,3.212186,3.212186
209,2021-08-19 14:56:51.164200,2021-08-19 14:56:52.074500,0.0,2.636175,2.636175,2.636175,2.636175,2.636175
210,2021-08-19 14:56:45.635155,2021-08-19 14:56:52.984800,0,0,0,0,0,0
211,2021-08-19 14:56:56.440137,2021-08-19 14:56:57.350437,0.0,3.455337,3.455337,3.455337,3.455337,3.455337
212,2021-08-19 14:56:59.893199,2021-08-19 14:57:00.803499,0.0,2.542762,2.542762,2.542762,2.542762,2.542762
213,2021-08-19 14:56:54.315929,2021-08-19 14:57:01.713799,0,0,0,0,0,0
214,2021-08-19 14:57:05.234276,2021-08-19 14:57:06.144576,0.0,3.520477,3.520477,3.520477,3.520477,3.520477
215,2021-08-19 14:57:08.688279,2021-08-19 14:57:09.598579,0.0,2.543703,2.543703,2.543703,2.543703,2.543703
216,2021-08-19 14:57:02.933329,2021-08-19 14:57:10.508879,0,0,0,0,0,0
217,2021-08-19 14:57:13.912798,2021-08-19 14:57:14.823098,0.0,3.403919,3.403919,3.403919,3.403919,3.403919
218,2021-08-19 14:57:17.678438,2021-08-19 14:57:18.588738,0.0,2.85534,2.85534,2.85534,2.85534,2.85534
219,2021-08-19 14:57:11.751378,2021-08-19 14:57:19.499038,0,0,0,0,0,0
220,2021-08-19 14:57:22.567886,2021-08-19 14:57:23.478186,0.0,3.068848,3.068848,3.068848,3.068848,3.068848
221,2021-08-19 14:57:26.358877,2021-08-19 14:57:27.269177,0.0,2.880691,2.880691,2.880691,2.880691,2.880691
222,2021-08-19 14:57:20.199988,2021-08-19 14:57:28.179477,0,0,0,0,0,0
223,2021-08-19 14:57:31.308704,2021-08-19 14:57:32.219004,0.0,3.129227,3.129227,3.129227,3.129227,3.129227
224,2021-08-19 14:57:35.029701,2021-08-19 14:57:35.940001,0.0,2.810697,2.810697,2.810697,2.810697,2.810697
225,2021-08-19 14:57:28.656843,2021-08-19 14:57:36.850301,0,0,0,0,0,0
226,2021-08-19 14:57:39.787267,2021-08-19 14:57:40.697567,0.0,2.936966,2.936966,2.936966,2.936966,2.936966
227,2021-08-19 14:57:43.829886,2021-08-19 14:57:44.740186,0.0,3.132319,3.132319,3.132319,3.132319,3.132319
228,2021-08-19 14:57:37.299160,2021-08-19 14:57:45.650486,0,0,0,0,0,0
229,2021-08-19 14:57:48.601680,2021-08-19 14:57:49.511980,0.0,2.951194,2.951194,2.951194,2.951194,2.951194
230,2021-08-19 14:57:52.829921,2021-08-19 14:57:53.740221,0.0,3.317941,3.317941,3.317941,3.317941,3.317941
231,2021-08-19 14:57:46.086923,2021-08-19 14:57:54.650521,0,0,0,0,0,0
232,2021-08-19 14:57:57.300097,2021-08-19 14:57:58.210397,0.0,2.649576,2.649576,2.649576,2.649576,2.649576
233,2021-08-19 14:58:01.786487,2021-08-19 14:58:02.696787,0.0,3.57609,3.57609,3.57609,3.57609,3.57609
234,2021-08-19 14:57:55.105269,2021-08-19 14:58:03.607087,0,0,0,0,0,0
235,2021-08-19 14:58:06.072141,2021-08-19 14:58:06.982441,0.0,2.465054,2.465054,2.465054,2.465054,2.465054
236,2021-08-19 14:58:10.643989,2021-08-19 14:58:11.554289,0.0,3.661548,3.661548,3.661548,3.661548,3.661548
237,2021-08-19 14:58:03.813215,2021-08-19 14:58:12.464589,0,0,0,0,0,0
238,2021-08-19 14:58:15.031094,2021-08-19 14:58:15.941394,0.0,2.566505,2.566505,2.566505,2.566505,2.566505
239,2021-08-19 14:58:19.314470,2021-08-19 14:58:20.224770,0.0,3.373076,3.373076,3.373076,3.373076,3.373076
240,2021-08-19 14:58:12.460946,2021-08-19 14:58:21.135070,0,0,0,0,0,0
241,2021-08-19 14:58:23.881265,2021-08-19 14:58:24.791565,0.0,2.746195,2.746195,2.746195,2.746195,2.746195
242,2021-08-19 14:58:28.080267,2021-08-19 14:58:28.990567,0.0,3.288702,3.288702,3.288702,3.288702,3.288702
243,2021-08-19 14:58:21.157241,2021-08-19 14:58:29.900867,0,0,0,0,0,0
