,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
85,2021-08-19 14:50:51.049871,2021-08-19 14:50:51.960171,0.005843000000000487,5.482446,5.476603,5.479322,5.48021,5.482446
86,2021-08-19 14:50:50.119953,2021-08-19 14:50:52.870471,0,0,0,0,0,0
87,2021-08-19 14:50:48.482489,2021-08-19 14:50:53.780771,0,0,0,0,0,0
88,2021-08-19 14:50:59.819890,2021-08-19 14:51:00.730190,0.005843000000000487,6.039119,6.033276,6.035995,6.036883,6.039119
89,2021-08-19 14:50:58.829979,2021-08-19 14:51:01.640490,0,0,0,0,0,0
90,2021-08-19 14:50:57.335642,2021-08-19 14:51:02.550790,0,0,0,0,0,0
91,2021-08-19 14:51:08.620362,2021-08-19 14:51:09.530662,0.0058429999999995985,6.069572,6.063729,6.066448,6.067336,6.069572
92,2021-08-19 14:51:07.870550,2021-08-19 14:51:10.440962,0,0,0,0,0,0
93,2021-08-19 14:51:06.021234,2021-08-19 14:51:11.351262,0,0,0,0,0,0
94,2021-08-19 14:51:17.219012,2021-08-19 14:51:18.129312,0.0058429999999995985,5.86775,5.861907,5.864626,5.865514,5.86775
95,2021-08-19 14:51:16.862002,2021-08-19 14:51:19.039612,0,0,0,0,0,0
96,2021-08-19 14:51:14.842945,2021-08-19 14:51:19.949912,0,0,0,0,0,0
97,2021-08-19 14:51:26.087569,2021-08-19 14:51:26.997869,0.0058429999999995985,6.137657,6.131814,6.134533,6.135421,6.137657
98,2021-08-19 14:51:25.883216,2021-08-19 14:51:27.908169,0,0,0,0,0,0
99,2021-08-19 14:51:23.684324,2021-08-19 14:51:28.818469,0,0,0,0,0,0
100,2021-08-19 14:51:34.860044,2021-08-19 14:51:35.770344,0.0058429999999995985,6.041575,6.035732,6.038451,6.039339,6.041575
101,2021-08-19 14:51:34.918326,2021-08-19 14:51:36.680644,0,0,0,0,0,0
102,2021-08-19 14:51:32.693265,2021-08-19 14:51:37.590944,0,0,0,0,0,0
103,2021-08-19 14:51:43.761031,2021-08-19 14:51:44.671331,0.0058429999999995985,6.170087,6.164244,6.166963,6.167851,6.170087
104,2021-08-19 14:51:43.876754,2021-08-19 14:51:45.581631,0,0,0,0,0,0
105,2021-08-19 14:51:41.518131,2021-08-19 14:51:46.491931,0,0,0,0,0,0
106,2021-08-19 14:51:52.389563,2021-08-19 14:51:53.299863,0.0058429999999995985,5.897632,5.891789,5.894508,5.895396,5.897632
107,2021-08-19 14:51:52.761450,2021-08-19 14:51:54.210163,0,0,0,0,0,0
108,2021-08-19 14:51:50.260568,2021-08-19 14:51:55.120463,0,0,0,0,0,0
109,2021-08-19 14:52:01.158108,2021-08-19 14:52:02.068408,0.005843000000000487,6.037645,6.031802,6.034521,6.035409,6.037645
110,2021-08-19 14:52:01.552075,2021-08-19 14:52:02.978708,0,0,0,0,0,0
111,2021-08-19 14:51:58.881303,2021-08-19 14:52:03.889008,0,0,0,0,0,0
112,2021-08-19 14:52:09.956476,2021-08-19 14:52:10.866776,0.0058429999999995985,6.067468,6.061625,6.064344,6.065232,6.067468
113,2021-08-19 14:52:10.494101,2021-08-19 14:52:11.777076,0,0,0,0,0,0
114,2021-08-19 14:52:07.764918,2021-08-19 14:52:12.687376,0,0,0,0,0,0
115,2021-08-19 14:52:18.502947,2021-08-19 14:52:19.413247,0.005843000000000487,5.815571,5.809728,5.812447,5.813335,5.815571
116,2021-08-19 14:52:19.451073,2021-08-19 14:52:20.361373,0.005857000000000001,0.037826,0.031969,0.034675,0.036643,0.037826
117,2021-08-19 14:52:16.701545,2021-08-19 14:52:21.271673,0,0,0,0,0,0
118,2021-08-19 14:52:27.237647,2021-08-19 14:52:28.147947,0.005843000000000487,5.965974,5.960131,5.96285,5.963738,5.965974
119,2021-08-19 14:52:27.521557,2021-08-19 14:52:29.058247,0,0,0,0,0,0
120,2021-08-19 14:52:25.496111,2021-08-19 14:52:29.968547,0,0,0,0,0,0
121,2021-08-19 14:52:35.723319,2021-08-19 14:52:36.633619,0.0058429999999995985,5.754772,5.748929,5.751648,5.752536,5.754772
122,2021-08-19 14:52:36.322187,2021-08-19 14:52:37.543919,0,0,0,0,0,0
123,2021-08-19 14:52:33.869183,2021-08-19 14:52:38.454219,0,0,0,0,0,0
124,2021-08-19 14:52:44.125835,2021-08-19 14:52:45.036135,0.005843000000000487,5.671616,5.665773,5.668492,5.66938,5.671616
125,2021-08-19 14:52:45.092149,2021-08-19 14:52:46.002449,0.005857000000000001,0.056014,0.050157,0.052863,0.054831,0.056014
126,2021-08-19 14:52:42.522418,2021-08-19 14:52:46.912749,0,0,0,0,0,0
127,2021-08-19 14:52:52.708926,2021-08-19 14:52:53.619226,0.005843000000000487,5.796177,5.790334,5.793053,5.793941,5.796177
128,2021-08-19 14:52:53.818048,2021-08-19 14:52:54.728348,0.005857000000000001,0.198822,0.192965,0.195671,0.197639,0.198822
