,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
174,2,174,0.9103,0,0,0,0,0,0,0.0,0.0
175,2,175,7.175831,6.265531,6.265531,6.265531,6.265531,6.265531,0.0,0.0,0.0
176,2,176,0.9103,0,0,0,0,0,0,0.0,0.0
177,2,177,0.9103,0,0,0,0,0,0,0.0,0.0
178,2,178,7.258407,6.348107,6.348107,6.348107,6.348107,6.348107,0.0,0.0,0.0
179,2,179,0.9103,0,0,0,0,0,0,0.0,0.0
180,2,180,0.9103,0,0,0,0,0,0,0.0,0.0
181,2,181,7.288458,6.378158,6.378158,6.378158,6.378158,6.378158,0.0,0.0,0.0
182,2,182,0.9103,0,0,0,0,0,0,0.0,0.0
183,2,183,0.9103,0,0,0,0,0,0,0.0,0.0
184,2,184,6.917794,6.007494,6.007494,6.007494,6.007494,6.007494,0.0,0.0,0.0
185,2,185,0.9103,0,0,0,0,0,0,0.0,0.0
186,2,186,0.9103,0,0,0,0,0,0,0.0,0.0
187,2,187,7.402346,6.492046,6.492046,6.492046,6.492046,6.492046,0.0,0.0,0.0
188,2,188,0.9103,0,0,0,0,0,0,0.0,0.0
189,2,189,0.9103,0,0,0,0,0,0,0.0,0.0
190,2,190,7.228735,6.318435,6.318435,6.318435,6.318435,6.318435,0.0,0.0,0.0
191,2,191,0.9103,0,0,0,0,0,0,0.0,0.0
192,2,192,0.9103,0,0,0,0,0,0,0.0,0.0
193,2,193,7.229254,6.318954,6.318954,6.318954,6.318954,6.318954,0.0,0.0,0.0
194,2,194,0.9103,0,0,0,0,0,0,0.0,0.0
195,2,195,0.9103,0,0,0,0,0,0,0.0,0.0
196,2,196,10.539578,9.629278,9.629278,9.629278,9.629278,9.629278,0.0,0.0,0.0
197,2,197,0.9103,0,0,0,0,0,0,0.0,0.0
198,2,198,0.9103,0,0,0,0,0,0,0.0,0.0
199,2,199,7.310855,6.400555,6.400555,6.400555,6.400555,6.400555,0.0,0.0,0.0
200,2,200,0.9103,0,0,0,0,0,0,0.0,0.0
201,2,201,0.9103,0,0,0,0,0,0,0.0,0.0
202,2,202,7.196877,6.286577,6.286577,6.286577,6.286577,6.286577,0.0,0.0,0.0
203,2,203,0.9103,0,0,0,0,0,0,0.0,0.0
204,2,204,0.9103,0,0,0,0,0,0,0.0,0.0
205,2,205,7.070409,6.160109,6.160109,6.160109,6.160109,6.160109,0.0,0.0,0.0
206,2,206,0.9103,0,0,0,0,0,0,0.0,0.0
207,2,207,0.9103,0,0,0,0,0,0,0.0,0.0
208,2,208,7.112841,6.202541,6.202541,6.202541,6.202541,6.202541,0.0,0.0,0.0
209,2,209,0.9103,0,0,0,0,0,0,0.0,0.0
210,2,210,0.9103,0,0,0,0,0,0,0.0,0.0
211,2,211,6.976291,6.065991,6.065991,6.065991,6.065991,6.065991,0.0,0.0,0.0
212,2,212,0.9103,0,0,0,0,0,0,0.0,0.0
213,2,213,0.9103,0,0,0,0,0,0,0.0,0.0
214,2,214,7.127319,6.217019,6.217019,6.217019,6.217019,6.217019,0.0,0.0,0.0
215,2,215,0.9103,0,0,0,0,0,0,0.0,0.0
216,2,216,0.9103,0,0,0,0,0,0,0.0,0.0
217,2,217,7.357138,6.446838,6.446838,6.446838,6.446838,6.446838,0.0,0.0,0.0
218,2,218,0.9103,0,0,0,0,0,0,0.0,0.0
219,2,219,0.9103,0,0,0,0,0,0,0.0,0.0
220,2,220,10.109697,9.199397,9.199397,9.199397,9.199397,9.199397,0.0,0.0,0.0
221,2,221,0.9103,0,0,0,0,0,0,0.0,0.0
222,2,222,0.9103,0,0,0,0,0,0,0.0,0.0
223,2,223,7.053034,6.142734,6.142734,6.142734,6.142734,6.142734,0.0,0.0,0.0
224,2,224,0.9103,0,0,0,0,0,0,0.0,0.0
225,2,225,0.9103,0,0,0,0,0,0,0.0,0.0
226,2,226,7.157934,6.247634,6.247634,6.247634,6.247634,6.247634,0.0,0.0,0.0
227,2,227,0.9103,0,0,0,0,0,0,0.0,0.0
228,2,228,0.9103,0,0,0,0,0,0,0.0,0.0
229,2,229,7.294134,6.383834,6.383834,6.383834,6.383834,6.383834,0.0,0.0,0.0
230,2,230,0.9103,0,0,0,0,0,0,0.0,0.0
231,2,231,0.9103,0,0,0,0,0,0,0.0,0.0
232,2,232,7.282127,6.371827,6.371827,6.371827,6.371827,6.371827,0.0,0.0,0.0
233,2,233,0.9103,0,0,0,0,0,0,0.0,0.0
234,2,234,0.9103,0,0,0,0,0,0,0.0,0.0
235,2,235,7.43477,6.52447,6.52447,6.52447,6.52447,6.52447,0.0,0.0,0.0
236,2,236,0.9103,0,0,0,0,0,0,0.0,0.0
237,2,237,0.9103,0,0,0,0,0,0,0.0,0.0
238,2,238,7.062768,6.152468,6.152468,6.152468,6.152468,6.152468,0.0,0.0,0.0
239,2,239,0.9103,0,0,0,0,0,0,0.0,0.0
240,2,240,0.9103,0,0,0,0,0,0,0.0,0.0
241,2,241,7.146632,6.236332,6.236332,6.236332,6.236332,6.236332,0.0,0.0,0.0
242,2,242,0.9103,0,0,0,0,0,0,0.0,0.0
243,2,243,0.9103,0,0,0,0,0,0,0.0,0.0
244,2,244,7.129955,6.219655,6.219655,6.219655,6.219655,6.219655,0.0,0.0,0.0
245,2,245,0.9103,0,0,0,0,0,0,0.0,0.0
246,2,246,0.9103,0,0,0,0,0,0,0.0,0.0
247,2,247,7.21411,6.30381,6.30381,6.30381,6.30381,6.30381,0.0,0.0,0.0
248,2,248,0.9103,0,0,0,0,0,0,0.0,0.0
249,2,249,0.9103,0,0,0,0,0,0,0.0,0.0
250,2,250,11.318571,10.408271,10.408271,10.408271,10.408271,10.408271,0.0,0.0,0.0
251,2,251,0.9103,0,0,0,0,0,0,0.0,0.0
252,2,252,0.9103,0,0,0,0,0,0,0.0,0.0
253,2,253,10.281482,9.371182,9.371182,9.371182,9.371182,9.371182,0.0,0.0,0.0
254,2,254,0.9103,0,0,0,0,0,0,0.0,0.0
255,2,255,0.9103,0,0,0,0,0,0,0.0,0.0
256,2,256,9.362475,8.452175,8.452175,8.452175,8.452175,8.452175,0.0,0.0,0.0
257,2,257,0.9103,0,0,0,0,0,0,0.0,0.0
258,2,258,0.9103,0,0,0,0,0,0,0.0,0.0
