,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
181,2021-08-19 14:55:39.569489,2021-08-19 14:55:43.804953,0,0,0,0,0,0
182,2021-08-19 14:55:45.038557,2021-08-19 14:55:45.948857,1.233604,1.233604,0,1.233604,0,0
183,2021-08-19 14:55:43.874969,2021-08-19 14:55:46.859157,0,0,0,0,0,0
184,2021-08-19 14:55:51.136437,2021-08-19 14:55:52.046737,0.0,4.27728,4.27728,2.925283,3.404369,2.809907
185,2021-08-19 14:55:51.235201,2021-08-19 14:55:52.957037,0,0,0,0,0,0
186,2021-08-19 14:55:52.697759,2021-08-19 14:55:53.867337,0,0,0,0,0,0
187,2021-08-19 14:55:59.414277,2021-08-19 14:56:00.324577,0.7874100000000004,5.54694,4.75953,5.173512,4.481336,5.54694
188,2021-08-19 14:55:59.808956,2021-08-19 14:56:01.234877,0,0,0,0,0,0
189,2021-08-19 14:56:02.227237,2021-08-19 14:56:03.137537,0.0,0.99236,0.99236,0.017615,0.025374,0
190,2021-08-19 14:56:07.464458,2021-08-19 14:56:08.374758,0.0,4.326921,4.326921,4.273184,3.932653,4.283512
191,2021-08-19 14:56:08.574173,2021-08-19 14:56:09.484473,0.07502700000000001,0.199415,0.124388,0.199415,0.038655,0
192,2021-08-19 14:56:10.242828,2021-08-19 14:56:11.153128,0.19995799999999997,0.758355,0.558397,0.492612,0.758355,0.368431
193,2021-08-19 14:56:16.346581,2021-08-19 14:56:17.256881,0.0,5.193453,5.193453,5.082988,5.043086,4.920635
194,2021-08-19 14:56:17.567436,2021-08-19 14:56:18.477736,0.0,0.310555,0.310555,0.005877,0.206371,0
195,2021-08-19 14:56:19.532912,2021-08-19 14:56:20.443212,0.6593249999999999,1.055176,0.395851,1.055176,0.074433,0.629821
196,2021-08-19 14:56:25.752895,2021-08-19 14:56:26.663195,0.0,5.309683,5.309683,4.516999,4.361605,4.750855
197,2021-08-19 14:56:39.748140,2021-08-19 14:56:40.658440,13.084945,13.084945,0,13.084945,0,0
198,2021-08-19 14:56:27.505373,2021-08-19 14:56:41.568740,0,0,0,0,0,0
199,2021-08-19 14:56:33.872706,2021-08-19 14:56:42.479040,0,0,0,0,0,0
200,2021-08-19 14:56:35.627513,2021-08-19 14:56:43.389340,0,0,0,0,0,0
201,2021-08-19 14:56:36.429925,2021-08-19 14:56:44.299640,0,0,0,0,0,0
202,2021-08-19 14:56:42.559046,2021-08-19 14:56:45.209940,0,0,0,0,0,0
203,2021-08-19 14:56:49.923143,2021-08-19 14:56:50.833443,0.05929300000000026,4.713203,4.65391,4.713203,4.314305,4.582489
204,2021-08-19 14:56:51.036169,2021-08-19 14:56:51.946469,0.0,0.202726,0.202726,0,0,0
205,2021-08-19 14:56:51.534272,2021-08-19 14:56:52.856769,0,0,0,0,0,0
206,2021-08-19 14:56:58.464981,2021-08-19 14:56:59.375281,0.05151899999999987,5.608212,5.556693,5.53311,5.608212,5.535926
207,2021-08-19 14:56:59.474032,2021-08-19 14:57:00.384332,0.098751,0.098751,0,0,0.098751,0
208,2021-08-19 14:57:00.261620,2021-08-19 14:57:01.294632,0,0,0,0,0,0
209,2021-08-19 14:57:07.580792,2021-08-19 14:57:08.491092,0.6116519999999994,6.28616,5.674508,6.28616,6.063895,6.09019
210,2021-08-19 14:57:17.310467,2021-08-19 14:57:18.220767,8.819375,8.819375,0,8.819375,0,0
211,2021-08-19 14:57:10.654197,2021-08-19 14:57:19.131067,0,0,0,0,0,0
212,2021-08-19 14:57:15.840296,2021-08-19 14:57:20.041367,0,0,0,0,0,0
213,2021-08-19 14:57:16.849481,2021-08-19 14:57:20.951667,0,0,0,0,0,0
214,2021-08-19 14:57:17.699223,2021-08-19 14:57:21.861967,0,0,0,0,0,0
215,2021-08-19 14:57:24.810831,2021-08-19 14:57:25.721131,0.0,2.948864,2.948864,2.743492,2.631252,2.812758
216,2021-08-19 14:57:27.356810,2021-08-19 14:57:28.267110,0.08092500000000014,1.635679,1.554754,1.635679,1.516042,1.217036
217,2021-08-19 14:57:28.392166,2021-08-19 14:57:29.302466,0.125056,0.125056,0,0,0,0.125056
218,2021-08-19 14:57:33.870280,2021-08-19 14:57:34.780580,0.3869020000000001,4.567814,4.180912,4.412574,4.312663,4.567814
219,2021-08-19 14:57:36.229043,2021-08-19 14:57:37.139343,0.24677000000000016,1.448463,1.201693,0.975636,1.074741,1.448463
220,2021-08-19 14:57:37.813836,2021-08-19 14:57:38.724136,0.674493,0.674493,0,0.674493,0,0.035619
221,2021-08-19 14:57:53.769795,2021-08-19 14:57:54.680095,10.304849,15.045659,4.74081,3.532007,15.045659,3.439681
222,2021-08-19 14:57:44.803981,2021-08-19 14:57:55.590395,0,0,0,0,0,0
223,2021-08-19 14:57:45.909284,2021-08-19 14:57:56.500695,0,0,0,0,0,0
224,2021-08-19 14:57:51.157140,2021-08-19 14:57:57.410995,0,0,0,0,0,0
225,2021-08-19 14:57:59.845753,2021-08-19 14:58:00.756053,2.434758,2.434758,0,0,2.434758,0
